id,title,original_language,popularity,release_date,vote_average,vote_count
345,Escaping Paradise,en,131.135,7/8/2023,4.3,4
346,All Quiet on the Western Front,de,85.151,10/7/2022,7.7,3351
347,Frozen II,en,116.15,11/20/2019,7.3,9239
348,The Killer,en,95.24,10/25/2023,6.6,1462
349,After We Collided,en,110.335,9/2/2020,7.2,5131
350,Encanto at the Hollywood Bowl,en,103.395,12/28/2022,7,150
351,The Wolf of Wall Street,en,109.132,12/25/2013,8,22690
352,Strays,en,108.247,8/17/2023,7.5,598
353,Up,en,92.796,5/28/2009,8,19207
354,A Haunting in Venice,en,111.258,9/13/2023,6.7,1647
355,Lonely Castle in the Mirror,ja,104.154,12/23/2022,6.8,37
356,Finding Nemo,en,94.8,5/30/2003,7.8,18342
357,The Ice Age Adventures of Buck Wild,en,106.32,1/28/2022,6.7,1599
358,Through My Window,es,99.359,2/4/2022,7.4,2836
359,Confidential Informant,en,81.319,6/27/2023,6.2,100
360,The Ice Age Adventures of Buck Wild,en,106.32,1/28/2022,6.7,1599
361,Through My Window,es,99.359,2/4/2022,7.4,2836
362,Confidential Informant,en,81.319,6/27/2023,6.2,100
363,Chupa,en,106.577,4/7/2023,6.4,306
364,Family Switch,en,103.54,11/30/2023,6.3,435
365,Slash/Back,en,153.861,6/24/2022,6.6,48
366,Twilight,en,99.618,11/20/2008,6.3,12855
367,Forrest Gump,en,90.415,6/23/1994,8.5,25957
368,Captain Marvel,en,89.661,3/6/2019,6.8,14926
369,The Dark Knight,en,108.033,7/16/2008,8.5,31219
370,A Frozen Rooster,es,97.114,12/14/2022,7.6,326
371,Through My Window: Across the Sea,es,95.88,6/23/2023,6.6,618
372,Luca,en,113.349,6/17/2021,7.8,7827
373,Spectre,en,103.751,10/26/2015,6.5,10043
374,Suzume,ja,112.889,11/11/2022,8,910
375,Cruella,en,92.901,5/26/2021,8,8700
376,Heathers: The Musical,en,89.181,3/28/2023,7.8,13
377,Shrek the Third,en,89.822,5/17/2007,6.3,8491
378,Sonic the Hedgehog,en,88.818,2/12/2020,7.3,9050
379,Dragon Ball Super: Super Hero,ja,104.659,6/11/2022,7.9,2628
380,Ted 2,en,94.204,6/25/2015,6.3,7020
381,Coraline,en,94.066,2/5/2009,7.9,7257
382,Amigos,te,89.964,2/10/2023,4.8,10
383,How to Train Your Dragon 2,en,85.795,6/5/2014,7.7,9084
384,Room in Rome,es,87.216,5/7/2010,6.4,650
385,Shang-Chi and the Legend of the Ten Rings,en,82.731,9/1/2021,7.6,8722
386,Piglady,en,87.637,8/22/2023,3.9,8
387,Bullet Train,en,93.678,8/3/2022,7.5,5139
388,Terminator 2: Judgment Day,en,74.588,7/3/1991,8.1,12016
389,AKA,fr,76.602,4/28/2023,6.9,569
390,Mr. Car and the Knights Templar,pl,77.886,7/12/2023,6,138
391,Peter Pan & Wendy,en,93.779,4/20/2023,5.6,584
392,The Conjuring,en,95.409,7/18/2013,7.5,10905
393,Time Trap,en,82.934,5/19/2017,6.2,992
394,xXx: Return of Xander Cage,en,88.212,1/13/2017,6.1,8610
395,Ready Player One,en,80.541,3/28/2018,7.6,14700
396,Fantastic Beasts and Where to Find Them,en,73.902,11/16/2016,7.3,18119
397,Tangled,en,107.474,11/24/2010,7.6,10756
398,Trolls World Tour,en,94.79,3/11/2020,7.3,2012
399,Siksa Neraka,id,86.356,12/14/2023,7,1
400,The Wrath of Becky,en,84.585,5/26/2023,6.4,212
401,Spider-Man: Homecoming,en,106.156,7/5/2017,7.3,20809
402,Ashfall,ko,84.504,12/19/2019,6.8,528
403,The Tomorrow War,en,88.606,9/3/2021,7.6,2995
404,Cars 2,en,99.363,6/11/2011,6.1,7266
405,Resurrected,en,90.489,4/27/2023,6.4,42
406,Jurassic World: Fallen Kingdom,en,81.85,6/6/2018,6.5,11228
407,Mega Lightning,en,102.932,12/5/2022,4.5,16
408,Shin Godzilla,ja,94.873,7/29/2016,7.1,1082
409,Krampus,en,79.289,11/26/2015,6.2,2041
410,Parasite,ko,88.635,5/30/2019,8.5,16903
411,Fist of the Condor,es,75.13,4/4/2023,7.5,60
412,Soccer Soul,es,91.554,12/7/2023,6.8,5
413,The Emperor's New Groove,en,103.753,12/15/2000,7.5,6242
414,Night of the Hunted,en,91.552,10/12/2023,6.6,35
415,Grown Ups 2,en,84.324,7/11/2013,6.1,4021
416,Exodus: Gods and Kings,en,87.458,12/3/2014,5.9,4313
417,Night on Earth: Shot in the Dark,en,61.053,1/29/2020,5.9,12
418,Skydog,en,142.352,10/20/2020,6.7,11
419,The Hangover,en,100.735,6/2/2009,7.3,16094
420,The Hangover,en,100.735,6/2/2009,7.3,16094
421,Aragne: Sign of Vermillion,ja,85.814,11/22/2018,3,4
422,Knock at the Cabin,en,83.957,2/1/2023,6.3,2106
423,Jumanji: The Next Level,en,80.947,12/4/2019,6.9,8101
424,Zootopia,en,112.984,2/11/2016,7.7,15498
425,Winnie the Pooh: Blood and Honey,en,79.371,1/27/2023,5.2,1085
426,Captain America: Civil War,en,101.834,4/27/2016,7.4,21801
427,How to Succeed at Losing,es,81.494,12/21/2023,7.2,9
428,V/H/S/85,en,118.822,9/22/2023,6.4,97
429,12th Fail,hi,86.174,10/27/2023,8.3,32
430,No Time to Die,en,94.323,9/29/2021,7.4,5694
431,Beast,en,85.17,8/11/2022,6.7,1355
432,Blended,en,84.839,5/21/2014,6.9,3298
433,Women in Cellblock 9,de,97.889,3/17/1978,4.5,27
434,Pacific Rim,en,85.724,7/11/2013,6.9,11762
435,Eileen,en,86.911,12/1/2023,6.4,50
436,Heroic,es,89.08,9/21/2023,7.5,95
437,Star Wars,en,91.796,5/25/1977,8.2,19507
438,Dawn of the Planet of the Apes,en,124.732,6/26/2014,7.3,10521
